Free Trial,Sides (free),Free Trial,,,,http://itunes.apple.com/us/app/sides-free/id379120749?mt=8
As You Like It,Sides AYLI,As You Like It,,,,http://itunes.apple.com/us/app/sides-ayli/id407077475?mt=8
As You Like It,Sides AYLI+,As You Like It (+),,,,https://itunes.apple.com/us/app/sides-ayli+/id480245687?mt=8
The Comedy Of Errors,Sides COE,The Comedy Of Errors,,,,http://itunes.apple.com/us/app/sides-errors/id434957855?mt=8
Hamlet,Sides Hamlet,Hamlet,,,,http://itunes.apple.com/us/app/sides-hamlet/id387466048?mt=8
Henry V,Sides HenryV,Henry V,,,,http://itunes.apple.com/us/app/sides-henryv/id432179685?mt=8
Julius Caesar,Sides JulCsr,Julius Caesar,,,,http://itunes.apple.com/us/app/sides-juliuscaesar/id393609215?mt=8
King Lear,Sides KLear,King Lear,,,,http://itunes.apple.com/us/app/sides-klear/id419950746?mt=8
Love's Labour's Lost,Sides LLL,Love's Labour's Lost,,,,http://itunes.apple.com/us/app/sides-lll/id419621980?mt=8
Macbeth,Sides Macbth,Macbeth,,,,http://itunes.apple.com/us/app/sides-macbeth/id387447228?mt=8
Measure For Measure,Sides MFM,Measure For Measure,,,,http://itunes.apple.com/us/app/sides-mfm/id418385500?mt=8
The Merchant Of Venice,Sides MOV,The Merchant Of Venice,,,,http://itunes.apple.com/us/app/sides-mov/id417242932?mt=8
A Midsummer Night's Dream,Sides MND,A Midsummer Night's Dream,,,,http://itunes.apple.com/us/app/sides-mnd/id385688058?mt=8
A Midsummer Night's Dream,Sides MND+,A Midsummer Night's Dream (+),,,,http://itunes.apple.com/us/app/sides-mnd/id408878970?mt=8
Much Ado About Nothing,Sides MchAdo,Much Ado About Nothing,,,,http://itunes.apple.com/us/app/sides-mchado/id418447268?mt=8
Othello,Sides Othllo,Othello,,,,http://itunes.apple.com/us/app/sides-othllo/id417257561?mt=8
Richard III,Sides Rchrd3,Richard III,,,,http://itunes.apple.com/us/app/sides-rchrd3/id390250345?mt=8
Romeo and Juliet,Sides RJ,Romeo and Juliet,,,,http://itunes.apple.com/us/app/sides-rj/id375050578?mt=8
Romeo and Juliet,Sides RJ+,Romeo and Juliet (+),,,,http://itunes.apple.com/us/app/sides-rj/id378948048?mt=8
The Taming Of The Shrew,Sides Shrew,The Taming Of The Shrew,,,,http://itunes.apple.com/us/app/sides-shrew/id430851113?mt=8
The Tempest,Sides Tempst,The Tempest,,,,http://itunes.apple.com/us/app/sides-tempest/id425396086?mt=8
Twelfth Night,Sides 12N,Twelfth Night,,,,http://itunes.apple.com/us/app/sides-12n/id385670237?mt=8
The Winter's Tale,Sides WnterT,The Winter's Tale,,,,http://itunes.apple.com/us/app/sides-wt/id437085127?mt=8
